B04	B03	B28	B29	B05	B07	B06	B08	B13	B09	B10	B12	B23	B16	B02	B19	B20	B21	B22	B14	B24	B25	B26	B27
書目識別號(不得修改)	書名	並列題名	分類號類型	分類號	作者	作者號	版本	語言別	出版地	出版社	出版年	裝訂別	價格	ISBN	面寬數	高寬	圖表	附件	稽核項	集叢項	附註項	主題項	追尋項
B01	B04	B03	B53	B54	B55	B56	B57	B58	B52	B59	B60	B61	B62	B63
館藏登錄號(不得重複)	書目識別號	書名(不得修改)	館藏狀態	流通別	資料別	特藏號	冊次號	複本號	排架號	館藏地	來源別	捐贈者	附件	新增日期
00000004	000004	認識自己	館內架上		一般圖書			C1		"本館藏書	"				91-02-19
00000005	000005	讓高牆倒下吧	報廢		一般圖書			c1		"本館藏書	"				91-02-19
00000006	000006	在勇氣邊緣	報廢		一般圖書			C1		"本館藏書	"				91-02-19
00000007	000007	小學生做研究 上	館內架上		一般圖書			v1c1		"本館藏書	"				91-02-19
00000008	000008	小學生做研究 中	館內架上		一般圖書			v2c1		"本館藏書	"				91-02-19
00000009	000009	小學生做研究 下	館內架上		一般圖書			v3c1		"本館藏書	"				91-02-19
00000010	000007	小學生做研究 上	報廢		一般圖書			v1C2		"本館藏書	"				91-02-19
00000011	000008	小學生做研究 中	報廢		一般圖書			v2c2		"本館藏書	"				91-02-19
00000013	000009	小學生做研究 下	報廢		一般圖書			V3c2		"本館藏書	"				91-02-19
00000015	000013	天使走過人間	報廢		一般圖書			C1		"本館藏書	"				91-02-21
00000016	000014	汪洋中的一條船	館內架上		一般圖書			c1		"本館藏書	"				91-02-21
00000019	000017	打開音樂之門	館內架上		一般圖書			C1		"本館藏書	"				91-02-26
00000020	000018	希臘羅馬神話故事	館內架上		一般圖書			C1		"本館藏書	"				91-02-26
00000021	000019	松下幸之助奮鬥史	館內架上		一般圖書			C1		"本館藏書	"				91-02-26
00000022	000020		館內架上		一般圖書					"本館藏書	"				91-02-26
00000023	000016	哈利波特30	館內架上		一般圖書			v1C1		"本館藏書	"				91-02-26
00000024	000016	哈利波特30	館內架上	一般館藏	一般圖書		v.1	c.2		"本館藏書	"	購買			91-02-26
00000029	000016	哈利波特30	館內架上		一般圖書			v1C3		"本館藏書	"				91-02-26
00000031	000022	哈利波特36	館內架上		一般圖書			v2c1		"本館藏書	"				91-02-26
00000032	000022	哈利波特36	館內架上	一般館藏	一般圖書		v.2	c.2		"本館藏書	"	購買			91-02-26
00000033	000023	哈利波特42	報廢		一般圖書			v3c1		"本館藏書	"				91-02-26
00000034	000023	哈利波特42	館內架上		一般圖書			v3c2		"本館藏書	"				91-02-26
00000035	000024	哈利波特47	報廢		一般圖書			v4c1		"本館藏書	"				91-02-26
00000036	000024	哈利波特47	報廢		一般圖書			v4c2		"本館藏書	"				91-02-26
00000046	008302	樹-樹木的生命	報廢		一般圖書			V1		"本館藏書	"				99-03-16
00000071	008327	TROPICAL RAINFOREST	報廢		VCD			c.		"本館藏書	"				99-09-09
00000073	000062	小小動物專家	報廢		一般圖書			V1		"本館藏書	"				91-03-05
00000074	000063	繽紛的植物世界	報廢		一般圖書			v3		"本館藏書	"				91-03-05
00000075	000064	海路空小小虫兵	報廢		一般圖書			v4		"本館藏書	"				91-03-05
00000076	000065	千變萬化的天空	報廢		一般圖書			v5		"本館藏書	"				91-03-05
00000077	000066	交通安全快樂行	館內架上		一般圖書			v6		"本館藏書	"				91-03-05
00000078	000067	祖先留下的寶貝	報廢		一般圖書			v7		"本館藏書	"				91-03-05
00000079	000068	小小河流成大海	報廢		一般圖書			v8		"本館藏書	"				91-03-05
00000080	000069	日常生活小博士	報廢		一般圖書			v9		"本館藏書	"				91-03-05
00000081	000070	環保小小尖兵	報廢		一般圖書			10		"本館藏書	"				91-03-05
00000082	000071	你關心的問題	報廢		一般圖書			v11		"本館藏書	"				91-03-05
00000083	000072	奇幻的恐龍世界	報廢		一般圖書			v12		"本館藏書	"				91-03-05
00000084	000073	體內的小工廠	報廢		一般圖書			v2		"本館藏書	"				91-03-05
00000085	000074	往上跌了一跤	館內架上		一般圖書					"本館藏書	"				91-03-12
00000086	000075	瑪塞林為什麼會臉紅	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000087	000076	閣樓上的光	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000088	000077	人行道的盡頭	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000089	000078	豆鼠私生活	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000090	000079	失落的一角	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000091	000080	微笑的魚	報廢		一般圖書			V1		"本館藏書	"				91-03-12
00000092	000081	奢侈‧寧靜和享樂	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000093	000082	清晨	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000094	000083	藍伯特先生	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000095	000084	我的另一半	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000096	000085	紐約‧巴黎	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000097	000086	哈吾爾‧塔布林	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000098	000088	失落的一角會見大圓滿	報廢		一般圖書			V1		"本館藏書	"				91-03-12
00000099	000089	身為一隻黃鼠狼	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000100	000090	裝著心的行旅	報廢		一般圖書			V1		"本館藏書	"				91-03-12
00000101	000091	深林裡的秘密	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000102	000092	窗口邊的小雨燕	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
00000103	000093	陪孩子一起作夢	館內架上		一般圖書			V1		"本館藏書	"				91-03-12
