B01	B04	B03	B53	B54	B55	B56	B57	B58	B52	B59	B60	B61	B62	B63
館藏登錄號(不得重複)	書目識別號	書名(不得修改)	館藏狀態	流通別	資料別	特藏號	冊次號	複本號	排架號	館藏地	來源別	捐贈者	附件	新增日期
00001058	001079	全新吳姐姐講歷史故事	館內架上		一般圖書			V28		"本館藏書	"				92-01-22
00001059	001080	全新吳姐姐講歷史故事	館內架上		一般圖書			V29		"本館藏書	"				92-01-22
00001060	001081	全新吳姐姐講歷史故事	館內架上		一般圖書			V30		"本館藏書	"				92-01-22
00001061	001082	全新吳姐姐講歷史故事	館內架上		一般圖書			V31		"本館藏書	"				92-01-22
00001062	001083	全新吳姐姐講歷史故事	館內架上		一般圖書			V32		"本館藏書	"				92-01-22
00001063	001084	全新吳姐姐講歷史故事	館內架上		一般圖書			V33		"本館藏書	"				92-01-22
00001064	001085	全新吳姐姐講歷史故事	館內架上		一般圖書			V34		"本館藏書	"				92-01-22
00001065	001086	全新吳姐姐講歷史故事	館內架上		一般圖書			V35		"本館藏書	"				92-01-22
00001066	001087	全新吳姐姐講歷史故事	館內架上		一般圖書			V36		"本館藏書	"				92-01-22
00001067	001088	全新吳姐姐講歷史故事	館內架上		一般圖書			V37		"本館藏書	"				92-01-22
00001068	001089	全新吳姐姐講歷史故事	館內架上		一般圖書			V38		"本館藏書	"				92-01-22
00001069	001090	全新吳姐姐講歷史故事	館內架上		一般圖書			V39		"本館藏書	"				92-01-22
00001070	001091	全新吳姐姐講歷史故事	館內架上		一般圖書			V40		"本館藏書	"				92-01-22
00001071	001092	全新吳姐姐講歷史故事	館內架上		一般圖書			V41		"本館藏書	"				92-01-22
00001072	001093	吳姐姐講歷史故事	報廢		一般圖書			V1		"本館藏書	"				92-01-22
00001073	001094	吳姐姐講歷史故事	報廢		一般圖書			V2		"本館藏書	"				92-01-22
00001074	001095	吳姐姐講歷史故事	報廢		一般圖書			V3		"本館藏書	"				92-01-22
00001075	001096	吳姐姐講歷史故事	報廢		一般圖書			V4		"本館藏書	"				92-01-22
00001076	001097	吳姐姐講歷史故事	報廢		一般圖書			V5		"本館藏書	"				92-01-22
00001077	001098	吳姐姐講歷史故事	報廢		一般圖書			V6		"本館藏書	"				92-01-22
00001078	001099	吳姐姐講歷史故事	報廢		一般圖書			V7		"本館藏書	"				92-01-22
00001079	001100	吳姐姐講歷史故事	館內架上		一般圖書			V7C2		"本館藏書	"				92-01-23
00001080	001100	吳姐姐講歷史故事	報廢		一般圖書			V7C1		"本館藏書	"				92-01-23
00001081	001102	吳姐姐講歷史故事	館內架上		一般圖書			V8C2		"本館藏書	"				92-01-23
00001082	001102	吳姐姐講歷史故事	報廢		一般圖書			V8C1		"本館藏書	"				92-01-23
00001083	001103	吳姐姐講歷史故事	館內架上		一般圖書			V9C2		"本館藏書	"				92-01-23
00001084	001103	吳姐姐講歷史故事	報廢		一般圖書			V9C1		"本館藏書	"				92-01-23
00001085	001104	吳姐姐講歷史故事	館內架上		一般圖書			V10C2		"本館藏書	"				92-01-23
00001086	001104	吳姐姐講歷史故事	報廢		一般圖書			V10C1		"本館藏書	"				92-01-23
00001087	001105	吳姐姐講歷史故事	館內架上		一般圖書			V11C2		"本館藏書	"				92-01-23
00001088	001105	吳姐姐講歷史故事	報廢		一般圖書			V11C1		"本館藏書	"				92-01-23
00001089	001106	吳姐姐講歷史故事	館內架上		一般圖書			V12C2		"本館藏書	"				92-01-23
00001090	001106	吳姐姐講歷史故事	報廢		一般圖書			V12C1		"本館藏書	"				92-01-23
00001091	001107	夏桀無道與商湯革命	館內架上		一般圖書			V3		"本館藏書	"				92-01-23
00001092	001108	武王伐紂與周公東征	館內架上		一般圖書			V4		"本館藏書	"				92-01-23
00001093	001109	春秋五霸與戰國七雄	館內架上		一般圖書			V5		"本館藏書	"				92-01-23
00001094	001110	一統天下的秦始皇	館內架上		一般圖書			V6		"本館藏書	"				92-01-23
00001095	001111	項羽和劉邦楚漢相爭	館內架上		一般圖書			V7		"本館藏書	"				92-01-23
00001096	001112	雄才大略的漢武帝	館內架上		一般圖書			V8		"本館藏書	"				92-01-23
00001097	001113	新朝皇帝王莽	館內架上		一般圖書			V9		"本館藏書	"				92-01-23
00001098	001114	中興漢室光武帝	館內架上		一般圖書			V10		"本館藏書	"				92-01-23
00001099	001115	三國的分合	館內架上		一般圖書			V11		"本館藏書	"				92-01-23
00001100	001116	五胡亂華與南北大分裂	館內架上		一般圖書			V12		"本館藏書	"				92-01-23
00001101	001117	曇花一現的隋朝	館內架上		一般圖書			V13		"本館藏書	"				92-01-23
00001102	001118	李淵源父子與唐朝的建立	館內架上		一般圖書			V14		"本館藏書	"				92-01-23
00001103	001119	燦爛的大唐世界	館內架上		一般圖書			V15		"本館藏書	"				92-01-23
00001104	001120	一代女皇武則天	館內架上		一般圖書			V16		"本館藏書	"				92-01-23
00001105	001121	藩鎮與黨爭	館內架上		一般圖書			V17		"本館藏書	"				92-01-23
00001106	001122	唐末及五代十國	館內架上		一般圖書			V18		"本館藏書	"				92-01-23
00001107	001123	宋太祖黃袍加身	館內架上		一般圖書			V19		"本館藏書	"				92-01-23
00001108	001124	王安石變法	館內架上		一般圖書			V20		"本館藏書	"				92-01-23
00001109	001125	岳飛和十二金牌	館內架上		一般圖書			V21		"本館藏書	"				92-01-23
00001110	001126	成吉思汗	館內架上		一般圖書			V22		"本館藏書	"				92-01-23
00001111	001127	跨越歐亞的元帝國	館內架上		一般圖書			V23		"本館藏書	"				92-01-23
00001112	001128	專制的明太組	館內架上		一般圖書			V24		"本館藏書	"				92-01-23
00001113	001129	鄭和七次下西洋	館內架上		一般圖書			V25		"本館藏書	"				92-01-23
00001114	001130	滿洲興起與清人入關	館內架上		一般圖書			V26		"本館藏書	"				92-01-23
00001115	001131	清初的太平盛世	館內架上		一般圖書			V27		"本館藏書	"				92-01-23
00001116	001132	胎禍無窮的鴉片戰爭	館內架上		一般圖書			V28		"本館藏書	"				92-01-23
00001117	001133	慈禧太后垂簾聽政	館內架上		一般圖書			V29		"本館藏書	"				92-01-23
00001118	001134	辛亥格革命與清朝的覆亡	館內架上		一般圖書			V30		"本館藏書	"				92-01-23
00001119	001136	千里絲路	報廢		一般圖書			V1		"本館藏書	"				92-01-24
00001120	001137	長城萬里	報廢		一般圖書			V2		"本館藏書	"				92-01-24
00001123	001139	大哉黃河	報廢		一般圖書			V3		"本館藏書	"				92-01-24
00001124	001141	天府西南	報廢		一般圖書			V4		"本館藏書	"				92-01-24
00001125	001142	大江南北	報廢		一般圖書			V5		"本館藏書	"				92-01-24
00001126	001143	煙雨江南	報廢		一般圖書			V6		"本館藏書	"				92-01-24
00001127	001144	臺海珠江	報廢		一般圖書			V7		"本館藏書	"				92-01-24
00001128	001145	白山黑水	報廢		一般圖書			V8		"本館藏書	"				92-01-24
00001129	001146	地理中國	報廢		一般圖書			V1		"本館藏書	"				92-01-24
00001130	001147	歷史中國	館內架上		一般圖書			V2		"本館藏書	"				92-01-24
00001131	001148	美術中國	報廢		一般圖書			V3		"本館藏書	"				92-01-24
00001132	001149	科技中國	報廢		一般圖書			V4		"本館藏書	"				92-01-24
00001133	001150	海洋中國	報廢		一般圖書			V5		"本館藏書	"				92-01-24
00001134	001151	考古中國	報廢		一般圖書			V6		"本館藏書	"				92-01-24
00001135	001152	松遼東北	報廢		一般圖書			V1		"本館藏書	"				92-01-24
00001136	001153	內蒙高原	報廢		一般圖書			V2		"本館藏書	"				92-01-24
00001137	001154	黃土原鄉	報廢		一般圖書			V3		"本館藏書	"				92-01-24
00001138	001155	華北大野	報廢		一般圖書			V4		"本館藏書	"				92-01-24
00001139	001156	華中山水	報廢		一般圖書			V5		"本館藏書	"				92-01-24
00001140	001157	華南海國	報廢		一般圖書			V6		"本館藏書	"				92-01-24
00001141	001158	雲貴西南	報廢		一般圖書			V7		"本館藏書	"				92-01-24
00001142	001159	天府巴蜀	報廢		一般圖書			V8		"本館藏書	"				92-01-24
00001143	001160	秘境青藏	報廢		一般圖書			V9		"本館藏書	"				92-01-24
00001144	001161	大漠西北	報廢		一般圖書			V10		"本館藏書	"				92-01-24
00001145	001162	法布爾.萊特兄弟	報廢		一般圖書			V1		"本館藏書	"				92-01-24
00001146	001163	托爾斯泰.海倫凱勒	報廢		一般圖書			V2		"本館藏書	"				92-01-24
00001147	001164	拿破崙.諾貝爾	報廢		一般圖書			V3		"本館藏書	"				92-01-24
00001148	001165	席頓.杜南	報廢		一般圖書			V4		"本館藏書	"				92-01-24
00001149	001166	馬可波羅	報廢		一般圖書			V5		"本館藏書	"				92-01-24
00001150	001167	馬克吐溫.哥倫布	報廢		一般圖書			V6		"本館藏書	"				92-01-24
00001151	001168	舒伯特.海汀	報廢		一般圖書			V7		"本館藏書	"				92-01-24
00001152	001169	巴斯德.達芬奇	報廢		一般圖書			V8		"本館藏書	"				92-01-24
00001153	001170	華盛頓.齊柏林	報廢		一般圖書			V9		"本館藏書	"				92-01-24
00001154	001171	奧爾柯特.福特	報廢		一般圖書			V10		"本館藏書	"				92-01-24
00001155	001173	居禮夫人.麥哲倫	報廢		一般圖書			V11		"本館藏書	"				92-01-24
00001156	001174	史懷哲.野口英世	報廢		一般圖書			V12		"本館藏書	"				92-01-24
00001157	001175	林肯.貝多芬	報廢		一般圖書			v13		"本館藏書	"				92-01-24
00001158	001176	亞孟森.南丁格爾	報廢		一般圖書			V14		"本館藏書	"				92-01-24
00001159	001178	史蒂文生.梵谷	報廢		一般圖書			V15		"本館藏書	"				92-01-24
00001160	001179	安突生.士利曼	報廢		一般圖書			V16		"本館藏書	"				92-01-24
00001161	001181	愛迪生.達爾文	報廢		一般圖書			V17		"本館藏書	"				92-01-24
00001162	001182	卓別林.安妮法蘭克	報廢		一般圖書			V18		"本館藏書	"				92-01-24
00001163	001183	李文斯頓.伽力略	報廢		一般圖書			V19		"本館藏書	"				92-01-24
00001164	001184	莫札特.李西蒲	館內架上		一般圖書			V20		"本館藏書	"				92-01-24
00001165	001185	孔子.孟子	報廢		一般圖書			V21		"本館藏書	"				92-01-24
00001166	001186	李白.杜甫	報廢		一般圖書			V22		"本館藏書	"				92-01-24
00001167	001187	班超.郭子儀	報廢		一般圖書			V23		"本館藏書	"				92-01-24
00001168	001188	張衡.詹天佑	報廢		一般圖書			V24		"本館藏書	"				92-01-24
00001169	001189	孫中山.鄭成功	報廢		一般圖書			V25		"本館藏書	"				92-01-24
00001170	001190	我的孩子掉了ㄅㄆㄇ繞口令	報廢		一般圖書			V1		"本館藏書	"				92-01-27
00001171	001191	一年仔悾悾台灣話和國語	報廢		一般圖書			V2		"本館藏書	"				92-01-27
00001172	001192	不善說話的傻女婿說話的藝術	報廢		一般圖書			V3		"本館藏書	"				92-01-27
00001173	001193	林肯的演講小小演說家	報廢		一般圖書			V4		"本館藏書	"				92-01-27
00001174	001194	夏令營風波辯論廣場	報廢		一般圖書			V5		"本館藏書	"				92-01-27
00001175	001196	楊修猜字國字點線面	報廢		一般圖書			V6		"本館藏書	"				92-01-27
00001176	001197	名字之爭部首和國字〈上〉	報廢		一般圖書			V7		"本館藏書	"				92-01-27
00001177	001199	拜師學字部首和國字〈下〉	報廢		一般圖書			V8		"本館藏書	"				92-01-27
00001178	001200	省主席開球遣詞造句	報廢		一般圖書			V1		"本館藏書	"				92-01-27
00001179	001201	阿嬸婆作媒標點符號	報廢		一般圖書			V10		"本館藏書	"				92-01-27
00001180	001202	張員外的請帖怎樣寫好文章	報廢		一般圖書			V11		"本館藏書	"				92-01-27
00001181	001208	十里長的蛙鳴文章的體裁	報廢		一般圖書			V12		"本館藏書	"				92-01-27
00001182	001209	武松打虎感官作文	報廢		一般圖書			V13		"本館藏書	"				92-01-27
00001183	001210	鴨子找人詞語的藝術〈上〉	報廢		一般圖書			V14		"本館藏書	"				92-01-27
00001184	001211	皇帝挨罵詞語的藝術〈下〉	報廢		一般圖書			V15		"本館藏書	"				92-01-27
00001185	001212	新偶像怎樣寫人	報廢		一般圖書			V16		"本館藏書	"				92-01-27
00001186	001213	放風箏怎樣寫事	報廢		一般圖書			V17		"本館藏書	"				92-01-27
00001187	001214	走進寶山怎樣寫景	報廢		一般圖書			V18		"本館藏書	"				92-01-27
00001188	001215	心愛物怎樣寫物	報廢		一般圖書			V19		"本館藏書	"				92-01-27
00001189	001216	小作家的困惑故事天地	報廢		一般圖書			V20		"本館藏書	"				92-01-27
00001190	001217	五千元的美夢小小編劇	報廢		一般圖書			V21		"本館藏書	"				92-01-28
00001191	001218	狗咬人與人咬狗小小記者	報廢		一般圖書			V22		"本館藏書	"				92-01-28
00001192	001219	歌女唱詩詩的世界	報廢		一般圖書			V23		"本館藏書	"				92-01-28
00001193	001220	不說話的夫妻怎樣寫書信和日記	報廢		一般圖書			V24		"本館藏書	"				92-01-28
00001194	001221	選舉季節怎樣寫啟事和紀錄	報廢		一般圖書			V25		"本館藏書	"				92-01-28
00001195	001222	好學的愛迪生有效的讀書方法	報廢		一般圖書			V26		"本館藏書	"				92-01-28
00001196	001223	竹籃子提水閱讀動動腦	報廢		一般圖書			V27		"本館藏書	"				92-01-28
00001197	001224	音樂玩家怎樣寫筆記	報廢		一般圖書			V28		"本館藏書	"				92-01-28
00001198	001226	臘八粥利用工具書閱讀	報廢		一般圖書			V29		"本館藏書	"				92-01-28
00001199	001227	黑牙和白皮課外讀物天地	報廢		一般圖書			V30		"本館藏書	"				92-01-28
00001200	001229	好心眼的鬼看童話學作文	報廢		一般圖書			V31		"本館藏書	"				92-01-28
00001201	001230	防凍藥看寓言學作文	報廢		一般圖書			V32		"本館藏書	"				92-01-28
00001202	001232	創世之神看神話學作文	報廢		一般圖書			V33		"本館藏書	"				92-01-28
00001203	001233	醜小鴨變天鵝看傳記學作文	報廢		一般圖書			V34		"本館藏書	"				92-01-28
00001204	001235	天池行看遊記學作文	報廢		一般圖書			V35		"本館藏書	"				92-01-28
00001205	001236	黃老師看散文學作文	報廢		一般圖書			V36		"本館藏書	"				92-01-28
00001206	001237	春天的腳印看童詩學作文	報廢		一般圖書			V37		"本館藏書	"				92-01-28
00001207	001238	童年的王國看書信學作文	報廢		一般圖書			V38		"本館藏書	"				92-01-28
00001208	001239	學染記常見的錯別字〈上〉	報廢		一般圖書			V39		"本館藏書	"				92-01-28
00001209	001241	籃球比賽常見的錯別字〈下〉	報廢		一般圖書			V40		"本館藏書	"				92-01-28
00001210	001242	一字之差相似詞和相反詞〈上〉	報廢		一般圖書			V41		"本館藏書	"				92-01-28
00001211	001243	傷心的妹妹相似詞和相反詞〈下〉	報廢		一般圖書			V42		"本館藏書	"				92-01-28
00001212	001244	一言九鼎活用成語手冊〈上〉	報廢		一般圖書			V43		"本館藏書	"				92-01-28
00001213	001245	文質彬彬活用成語手冊〈下〉	報廢	一般館藏	一般圖書		v.4			"本館藏書	"	購買			92-01-28
00001214	001246	春水滿四澤活用詩詞手冊〈上〉	報廢		一般圖書			V45		"本館藏書	"				92-01-28
00001215	001247	物是人非事事休活用詩詞手冊〈下〉	報廢		一般圖書			V46		"本館藏書	"				92-01-28
00001216	001248	鐵杵磨成繡花針活用名言手冊〈上〉	報廢		一般圖書			V47		"本館藏書	"				92-01-28
00001217	001249	塞翁失馬活用名言手冊〈下〉	報廢		一般圖書			V48		"本館藏書	"				92-01-28
00001218	001251	電線杆穿大掛活用歇後語手冊〈上〉	報廢		一般圖書			V49		"本館藏書	"				92-01-28
00001219	001252	落湯的螃蟹活用歇後語手冊〈下〉	報廢		一般圖書			V50		"本館藏書	"				92-01-28
00001220	001253	迷人的花卉  植物	報廢		一般圖書			V2		"本館藏書	"				92-01-29
00001221	001254	美麗的路樹  植物	報廢		一般圖書			V3		"本館藏書	"				92-01-29
00001222	001255	月姑娘的秘密　　天文	報廢		一般圖書			v28		"本館藏書	"				92-02-13
00001224	001256	四季的水果　　植物	報廢		一般圖書			v4		"本館藏書	"				92-02-13
00001227	001259	動物的婚禮  動物	報廢		一般圖書			V6		"本館藏書	"				92-02-20
00001228	001260	動物的寶寶  動物	報廢		一般圖書			V7		"本館藏書	"				92-02-20
00001229	001261	動物的三餐  動物	報廢		一般圖書			V8		"本館藏書	"				92-02-20
00001230	001262	動物的語言 動物	報廢		一般圖書			V9		"本館藏書	"				92-02-20
00001231	001263	有趣的鳥兒  鳥類	報廢		一般圖書			V16		"本館藏書	"				92-02-20
00001232	001264	鳥的叫聲  鳥類	報廢		一般圖書			V17		"本館藏書	"				92-02-20
00001233	001265	鳥兒大搬家  鳥類	報廢		一般圖書			V18		"本館藏書	"				92-02-20
00001234	001266	大家來賞鳥  鳥類	報廢		一般圖書			V19		"本館藏書	"				92-02-20
00001235	001267	大家來賞鳥  鳥類	報廢		一般圖書			V20		"本館藏書	"				92-02-20
00001236	001268	魚類的秘密  魚類	報廢		一般圖書			V21		"本館藏書	"				92-02-20
00001237	001269	魚的長途旅行	報廢		一般圖書			V25		"本館藏書	"				92-02-20
00001238	001270	認識海裡的魚  魚類	報廢		一般圖書			V23		"本館藏書	"				92-02-20
00001239	001271	魚的七十二變  魚類	報廢		一般圖書			V24		"本館藏書	"				92-02-20
00001240	001272	亮晶晶的星星  天文	報廢		一般圖書			V26		"本館藏書	"				92-02-27
00001241	001273	拜訪太陽公公  天文	報廢		一般圖書			V27		"本館藏書	"				92-02-27
00001242	001274	亮晶晶的星星  天文	報廢		一般圖書			V29		"本館藏書	"				92-02-27
00001243	001275	參觀天文台  天文	報廢		一般圖書			V30		"本館藏書	"				92-02-27
00001244	001276	我們看雲去   氣象	報廢		一般圖書			V31		"本館藏書	"				92-02-27
00001245	001277	風從哪裡來   氣象	報廢		一般圖書			V32		"本館藏書	"				92-02-27
00001246	001278	我是一顆小雨點  氣象	報廢		一般圖書			V33		"本館藏書	"				92-02-27
00001247	001279	奇妙的大氣壓力  氣象	報廢		一般圖書			V34		"本館藏書	"				92-02-27
00001248	001280	氣象預報員的一天  氣象	報廢		一般圖書			V35		"本館藏書	"				92-02-27
00001249	001281	美麗的地球   地球	報廢		一般圖書			V36		"本館藏書	"				92-02-27
00001250	001282	地理奇觀  地球	報廢		一般圖書			V37		"本館藏書	"				92-02-27
00001251	001283	沙漠探險   地球	報廢		一般圖書			V38		"本館藏書	"				92-02-27
00001252	001284	神秘的北極和南極   地球	報廢		一般圖書			V39		"本館藏書	"				92-02-27
00001253	001285	地底下的寶藏   地球	報廢		一般圖書			V40		"本館藏書	"				92-02-27
00001254	001286	力的家庭    物理	報廢		一般圖書			V41		"本館藏書	"				92-02-27
00001255	001287	有用的電   物理	報廢		一般圖書			V42		"本館藏書	"				92-02-27
00001256	001288	奇妙的聲音  物理	報廢		一般圖書			V43		"本館藏書	"				92-02-27
00001257	001289	神奇的光  物理	報廢		一般圖書			V44		"本館藏書	"				92-02-27
00001258	001290	能的世界  物理	報廢		一般圖書			V45		"本館藏書	"				92-02-27
00001259	001291	發酵的秘密  物理	報廢		一般圖書			V46		"本館藏書	"				92-02-27
00001260	001292	作怪的氧化現象     化學	報廢		一般圖書			V47		"本館藏書	"				92-02-27
00001261	001293	化工產品的把戲    化學	報廢		一般圖書			V48		"本館藏書	"				92-02-27
00001262	001294	神奇的元素    化學	報廢		一般圖書			V49		"本館藏書	"				92-02-27
00001263	001295	有趣的小實驗    化學	報廢		一般圖書			V50		"本館藏書	"				92-02-27
00001264	001296	火箭升空      太空	報廢		一般圖書			V51		"本館藏書	"				92-02-27
00001265	001297	太空人的一天     太空	報廢		一般圖書			V52		"本館藏書	"				92-02-27
00001266	001298	月球上的太空成    太空	報廢		一般圖書			V53		"本館藏書	"				92-02-27
00001267	001299	外星人來了   太空	報廢		一般圖書			V54		"本館藏書	"				92-02-27
00001268	001300	人造衛星   太空	報廢		一般圖書			V55		"本館藏書	"				92-02-27
00001269	001301	古時候的發明     科技	報廢		一般圖書			V56		"本館藏書	"				92-02-27
00001270	001302	一百年來的發明     科技	報廢		一般圖書			V57		"本館藏書	"				92-02-27
00001271	001303	電腦123   科技	報廢		一般圖書			V58		"本館藏書	"				92-02-27
00001272	001304	奇妙的機器人  科技	報廢		一般圖書			V59		"本館藏書	"				92-02-27
